n_airlines,m_slots,max_demand,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair
20,25,5,2859.884498715457,2313.7197279481325,92.54878911792531,0.8864,2859.884498715457,2859.884498715457,92.54878911792531,0.8864,2859.884498715457,0.8864
20,25,5,2768.159807683267,2299.2593075208324,91.9703723008333,0.912,2768.159807683267,2768.1598076832674,91.9703723008333,0.912,2768.159807683267,0.912
20,25,5,3090.3625061233815,2324.225597568281,92.96902390273124,0.88,3090.3625061233815,3090.3625061233815,92.96902390273124,0.88,3090.3625061233815,0.88
20,25,5,3812.9226935154834,2209.50256688154,88.3801026752616,0.8608,3812.9226935154834,3812.9226935154825,88.3801026752616,0.8608,3812.9226935154834,0.8608
20,25,5,3565.665462495028,2530.9108332832516,101.23643333133006,0.8608,3565.665462495028,3565.665462495028,101.23643333133006,0.8608,3565.665462495028,0.8608
20,25,5,3088.110129475371,2327.5248446579567,93.10099378631827,0.8575999999999999,3088.110129475371,3088.1101294753717,93.10099378631827,0.8575999999999999,3088.110129475371,0.8575999999999999
20,25,5,3817.5828033504276,3136.162227051117,125.44648908204468,0.896,3817.5828033504276,3817.5828033504276,125.44648908204468,0.896,3817.5828033504276,0.896
20,25,5,2601.4958352941626,2049.0908393380614,81.96363357352246,0.8928,2601.4958352941626,2601.495835294162,81.96363357352246,0.8928,2601.4958352941626,0.8928
20,25,5,3349.606716406506,2705.2138252480313,108.20855300992125,0.8672,3349.606716406506,3349.606716406506,108.20855300992125,0.8672,3349.606716406506,0.8672
20,25,5,3772.1460532103447,2720.109134057907,108.80436536231628,0.8735999999999999,3772.1460532103447,3772.1460532103447,108.80436536231628,0.8735999999999999,3772.1460532103447,0.8735999999999999
30,38,5,4383.977325163759,3410.9067790695326,89.76070471235613,0.9210526315789473,4383.977325163759,4383.977325163759,89.76070471235613,0.9210526315789473,4383.977325163759,0.9210526315789473
30,38,5,4307.12217694469,3497.5436482817872,92.04062232320494,0.9335180055401662,4307.12217694469,4307.122176944691,92.04062232320494,0.9335180055401662,4307.12217694469,0.9335180055401662
30,38,5,4878.726104408966,3635.498130063014,95.67100342271088,0.9210526315789473,4878.726104408966,4878.726104408966,95.67100342271088,0.9210526315789473,4878.726104408966,0.9210526315789473
30,38,5,5834.059551761744,3678.323057962727,96.79797520954546,0.9058171745152355,5834.059551761744,5834.059551761744,96.79797520954546,0.9058171745152355,5834.059551761744,0.9058171745152355
30,38,5,5072.775339299326,3671.313250805581,96.61350660014688,0.9127423822714682,5072.775339299326,5072.775339299326,96.61350660014688,0.9127423822714682,5072.775339299326,0.9127423822714682
30,38,5,4407.86098139468,3386.5175970081623,89.11888413179373,0.9182825484764543,4407.86098139468,4407.86098139468,89.11888413179373,0.9182825484764543,4407.86098139468,0.9182825484764543
30,38,5,5408.700475437259,4166.791538489197,109.65240890761044,0.9210526315789473,5408.700475437259,5408.70047543726,109.65240890761044,0.9210526315789473,5408.700475437259,0.9210526315789473
30,38,5,3825.280054409953,3082.5081566796084,81.11863570209496,0.9335180055401662,3825.280054409953,3825.280054409954,81.11863570209496,0.9335180055401662,3825.280054409953,0.9335180055401662
30,38,5,4865.485850287511,3790.069001059236,99.7386579226115,0.9182825484764543,4865.485850287511,4865.48585028751,99.7386579226115,0.9182825484764543,4865.485850287511,0.9182825484764543
30,38,5,5675.370074990724,4056.8757522825686,106.75988821796234,0.9113573407202216,5675.370074990724,5675.370074990724,106.75988821796234,0.9113573407202216,5675.370074990724,0.9113573407202216
40,50,5,5857.969213726745,4666.132175094864,93.32264350189728,0.9416,5857.969213726745,5857.969213726747,93.32264350189728,0.9416,5857.969213726745,0.9416
40,50,5,6293.427984219118,4709.229641388177,94.18459282776354,0.9456,6293.427984219118,6293.427984219119,94.18459282776354,0.9456,6293.427984219118,0.9456
40,50,5,6359.328536852552,5013.324908314896,100.26649816629792,0.9424,6359.328536852552,6359.32853685255,100.26649816629792,0.9424,6359.328536852552,0.9424
40,50,5,7208.030402096476,4753.171919453346,95.06343838906693,0.9336,7208.030402096476,7208.030402096474,95.06343838906693,0.9336,7208.030402096476,0.9336
40,50,5,6592.219933224592,4892.516372786386,97.85032745572771,0.9296,6592.219933224592,6592.219933224593,97.85032745572771,0.9296,6592.219933224592,0.9296
40,50,5,5599.738578935271,4173.297340724664,83.46594681449328,0.9376,5599.738578935271,5599.738578935269,83.46594681449328,0.9376,5599.738578935271,0.9376
40,50,5,6935.712041121301,5414.014158861368,108.28028317722736,0.9392,6935.712041121301,6935.712041121301,108.28028317722736,0.9392,6935.712041121301,0.9392
40,50,5,5105.038229879492,4124.060562993686,82.48121125987372,0.944,5105.038229879492,5105.038229879492,82.48121125987372,0.944,5105.038229879492,0.944
40,50,5,6623.619977495279,5020.182580266661,100.40365160533321,0.9304,6623.619977495279,6623.619977495278,100.40365160533321,0.9304,6623.619977495279,0.9304
40,50,5,6954.916572067645,5065.586493484805,101.3117298696961,0.9319999999999999,6954.916572067645,6957.723838035778,101.3117298696961,0.9319999999999999,6954.916572067645,0.9319999999999999
50,62,5,8387.070907327045,6390.409955522551,103.07112831487984,0.9484911550468262,8387.070907327045,8387.070907327045,103.07112831487984,0.9484911550468262,8387.070907327045,0.9484911550468262
50,62,5,7608.5970754479595,5884.995942516765,94.9192893954317,0.9552549427679501,7608.5970754479595,7608.59707544796,94.9192893954317,0.9552549427679501,7608.5970754479595,0.9552549427679501
50,62,5,8108.122675224435,6271.334281971937,101.15055293503126,0.9516129032258065,8108.122675224435,8108.122675224435,101.15055293503126,0.9516129032258065,8108.122675224435,0.9516129032258065
50,62,5,8815.588566529457,6022.436733009115,97.13607633885672,0.9469302809573361,8815.588566529457,8815.588566529457,97.13607633885672,0.9469302809573361,8815.588566529457,0.9469302809573361
50,62,5,8267.094406100634,6064.53730477881,97.81511781901305,0.9448491155046826,8267.094406100634,8267.094406100634,97.81511781901305,0.9448491155046826,8267.094406100634,0.9448491155046826
50,62,5,6937.299126714586,5345.8479665758205,86.22335429961001,0.9516129032258065,6937.299126714586,6937.299126714587,86.22335429961001,0.9516129032258065,6937.299126714586,0.9516129032258065
50,62,5,8711.067560945034,6644.539286231055,107.16998848759765,0.9479708636836629,8711.067560945034,8711.067560945034,107.16998848759765,0.9479708636836629,8711.067560945034,0.9479708636836629
